DocType: Employee,Salary Mode,حالت حقوق و دستمزد
DocType: Employee,Divorced,طلاق
<<<<<<< HEAD
=======
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py +84,Warning: Same item has been entered multiple times.,هشدار: همان مورد وارد شده است چندین بار.
>>>>>>> ccaba6a395ce8e0526cc059982c83eddcdec9347
apps/erpnext/erpnext/hub_node/doctype/hub_settings/hub_settings.py +96,Items already synced,آیتم ها در حال حاضر همگام سازی
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,اجازه می دهد مورد به چند بار در یک معامله اضافه شود
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py +33,Cancel Material Visit {0} before cancelling this Warranty Claim,لغو مواد مشاهده {0} قبل از لغو این ادعا گارانتی
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +19,Consumer Products,محصولات مصرفی
<<<<<<< HEAD
DocType: Supplier Scorecard,Notify Supplier,اطلاع رسانی کننده
=======
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.js +68,Please select Party Type first,لطفا ابتدا حزب نوع را انتخاب کنید
>>>>>>> ccaba6a395ce8e0526cc059982c83eddcdec9347
DocType: Item,Customer Items,آیتم های مشتری
DocType: Project,Costing and Billing,هزینه یابی و حسابداری
apps/erpnext/erpnext/accounts/doctype/account/account.py +52,Account {0}: Parent account {1} can not be a ledger,حساب {0}: حساب مرجع {1} می تواند یک دفتر نمی
DocType: Item,Publish Item to hub.erpnext.com,مورد انتشار hub.erpnext.com
apps/erpnext/erpnext/config/setup.py +88,Email Notifications,ایمیل اخبار
<<<<<<< HEAD
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py +26,Evaluation,ارزیابی
=======
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py +21,Evaluation,ارزیابی
>>>>>>> ccaba6a395ce8e0526cc059982c83eddcdec9347
DocType: Item,Default Unit of Measure,واحد اندازه گیری پیش فرض
DocType: SMS Center,All Sales Partner Contact,اطلاعات تماس تمام شرکای فروش
DocType: Employee,Leave Approvers,ترک Approvers
DocType: Sales Partner,Dealer,دلال
DocType: Employee,Rented,اجاره
DocType: Purchase Order,PO-,PO-
DocType: POS Profile,Applicable for User,قابل استفاده برای کاربر
<<<<<<< HEAD
apps/erpnext/erpnext/manufacturing/doctype/production_order/production_order.py +196,"Stopped Production Order cannot be cancelled, Unstop it first to cancel",متوقف سفارش تولید نمی تواند لغو شود، آن را اولین Unstop برای لغو
DocType: Vehicle Service,Mileage,مسافت پیموده شده
apps/erpnext/erpnext/accounts/doctype/asset/asset.js +231,Do you really want to scrap this asset?,آیا شما واقعا می خواهید به قراضه این دارایی؟
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js +44,Select Default Supplier,کننده پیش فرض انتخاب کنید
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py +37,Currency is required for Price List {0},برای اطلاع از قیمت ارز مورد نیاز است {0}
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,* * * * آیا می شود در معامله محاسبه می شود.
DocType: Purchase Order,Customer Contact,مشتریان تماس با
DocType: Job Applicant,Job Applicant,درخواستگر کار
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py +6,This is based on transactions against this Supplier. See timeline below for details,این است که در معاملات در برابر این کننده است. مشاهده جدول زمانی زیر برای جزئیات
apps/erpnext/erpnext/hub_node/page/hub/hub_body.html +18,No more results.,نتایج بیشتری.
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +34,Legal,حقوقی
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js +174,Actual type tax cannot be included in Item rate in row {0},مالیات واقعی نوع می تواند در میزان مورد در ردیف شامل نمی شود {0}
DocType: Bank Guarantee,Customer,مشتری
DocType: Purchase Receipt Item,Required By,مورد نیاز
DocType: Delivery Note,Return Against Delivery Note,بازگشت علیه تحویل توجه داشته باشید
DocType: Purchase Order,% Billed,٪ صورتحساب شد
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py +43,Exchange Rate must be same as {0} {1} ({2}),نرخ ارز باید به همان صورت {0} {1} ({2})
DocType: Sales Invoice,Customer Name,نام مشتری
DocType: Vehicle,Natural Gas,گاز طبیعی
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py +127,Bank account cannot be named as {0},حساب بانکی می تواند به عنوان نمی شود به نام {0}
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,سر (یا گروه) که در برابر مطالب حسابداری ساخته شده است و توازن حفظ می شوند.
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +196,Outstanding for {0} cannot be less than zero ({1}),برجسته برای {0} نمی تواند کمتر از صفر ({1})
apps/erpnext/erpnext/hr/doctype/process_payroll/process_payroll.py +357,There are no submitted Salary Slips to process.,هیچ پردازش حقوق و دستمزد ارائه نشده است.
DocType: Manufacturing Settings,Default 10 mins,پیش فرض 10 دقیقه
DocType: Leave Type,Leave Type Name,ترک نام نوع
apps/erpnext/erpnext/templates/pages/projects.js +62,Show open,نشان می دهد باز
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py +151,Series Updated Successfully,سری به روز رسانی با موفقیت
apps/erpnext/erpnext/templates/includes/cart/cart_dropdown.html +18,Checkout,وارسی
apps/erpnext/erpnext/hr/doctype/process_payroll/process_payroll.py +175,Accural Journal Entry Submitted,Accural ورود مجله ارسال شده
=======
apps/erpnext/erpnext/manufacturing/doctype/production_order/production_order.py +187,"Stopped Production Order cannot be cancelled, Unstop it first to cancel",متوقف سفارش تولید نمی تواند لغو شود، آن را اولین Unstop برای لغو
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js +449,Error: {0} &gt; {1},خطا: {0}&gt; {1}
apps/erpnext/erpnext/accounts/doctype/asset/asset.js +197,Do you really want to scrap this asset?,آیا شما واقعا می خواهید به قراضه این دارایی؟
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py +36,Currency is required for Price List {0},برای اطلاع از قیمت ارز مورد نیاز است {0}
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,* * * * آیا می شود در معامله محاسبه می شود.
DocType: Address,County,شهرستان
DocType: Purchase Order,Customer Contact,مشتریان تماس با
apps/erpnext/erpnext/schools/doctype/program_enrollment_tool/program_enrollment_tool.py +15,Mandatory feild - Program,feild مورد اجباری - برنامه
DocType: Job Applicant,Job Applicant,درخواستگر کار
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py +5,This is based on transactions against this Supplier. See timeline below for details,این است که در معاملات در برابر این کننده است. مشاهده جدول زمانی زیر برای جزئیات
apps/erpnext/erpnext/hub_node/page/hub/hub_body.html +18,No more results.,نتایج بیشتری.
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +34,Legal,حقوقی
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js +130,Actual type tax cannot be included in Item rate in row {0},مالیات واقعی نوع می تواند در میزان مورد در ردیف شامل نمی شود {0}
DocType: C-Form,Customer,مشتری
DocType: Purchase Receipt Item,Required By,مورد نیاز
DocType: Delivery Note,Return Against Delivery Note,بازگشت علیه تحویل توجه داشته باشید
DocType: Department,Department,بخش
DocType: Purchase Order,% Billed,٪ صورتحساب شد
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py +43,Exchange Rate must be same as {0} {1} ({2}),نرخ ارز باید به همان صورت {0} {1} ({2})
DocType: Sales Invoice,Customer Name,نام مشتری
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py +124,Bank account cannot be named as {0},حساب بانکی می تواند به عنوان نمی شود به نام {0}
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,سر (یا گروه) که در برابر مطالب حسابداری ساخته شده است و توازن حفظ می شوند.
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +180,Outstanding for {0} cannot be less than zero ({1}),برجسته برای {0} نمی تواند کمتر از صفر ({1})
DocType: Manufacturing Settings,Default 10 mins,پیش فرض 10 دقیقه
DocType: Leave Type,Leave Type Name,ترک نام نوع
apps/erpnext/erpnext/templates/pages/projects.js +63,Show open,نشان می دهد باز
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py +148,Series Updated Successfully,سری به روز رسانی با موفقیت
apps/erpnext/erpnext/templates/includes/cart/cart_dropdown.html +18,Checkout,وارسی
>>>>>>> ccaba6a395ce8e0526cc059982c83eddcdec9347
DocType: Pricing Rule,Apply On,درخواست در
DocType: Item Price,Multiple Item prices.,قیمت مورد چندگانه.
,Purchase Order Items To Be Received,سفارش خرید اقلام به دریافت
DocType: SMS Center,All Supplier Contact,همه با منبع تماس با
<<<<<<< HEAD
DocType: Support Settings,Support Settings,تنظیمات پشتیبانی
apps/erpnext/erpnext/projects/doctype/project/project.py +65,Expected End Date can not be less than Expected Start Date,انتظار می رود تاریخ پایان نمی تواند کمتر از حد انتظار تاریخ شروع
apps/erpnext/erpnext/utilities/transaction_base.py +110,Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,ردیف # {0}: نرخ باید به همان صورت {1}: {2} ({3} / {4})
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py +282,New Leave Application,جدید مرخصی استفاده
,Batch Item Expiry Status,دسته ای مورد وضعیت انقضاء
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +175,Bank Draft,حواله بانکی
DocType: Mode of Payment Account,Mode of Payment Account,نحوه حساب پرداخت
apps/erpnext/erpnext/stock/doctype/item/item.js +56,Show Variants,نمایش انواع
DocType: Academic Term,Academic Term,ترم تحصیلی
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py +14,Material,ماده
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js +670,Quantity,مقدار
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +546,Accounts table cannot be blank.,جدول حسابها نمی تواند خالی باشد.
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +154,Loans (Liabilities),وام (بدهی)
DocType: Employee Education,Year of Passing,سال عبور
DocType: Item,Country of Origin,کشور مبدا
apps/erpnext/erpnext/templates/includes/product_page.js +24,In Stock,در انبار
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html +46,Open Issues,مسائل باز
DocType: Production Plan Item,Production Plan Item,تولید مورد طرح
apps/erpnext/erpnext/hr/doctype/employee/employee.py +144,User {0} is already assigned to Employee {1},کاربر {0} در حال حاضر به کارکنان اختصاص داده {1}
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +31,Health Care,بهداشت و درمان
