<<<<<<< HEAD
DocType: Employee,Salary Mode,Bér mód
DocType: Employee,Divorced,Elvált
apps/erpnext/erpnext/hub_node/doctype/hub_settings/hub_settings.py +96,Items already synced,Tételek már szinkronizálva
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,Egy tranzakción belül a tétel többszöri hozzáadásának engedélyedzése
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py +33,Cancel Material Visit {0} before cancelling this Warranty Claim,Törölje az anyag szemlét: {0}mielőtt törölné ezt a jótállási igényt
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +19,Consumer Products,Vásárlói termékek
DocType: Supplier Scorecard,Notify Supplier,Értesítse a szállítót
DocType: Item,Customer Items,Vevői tételek
DocType: Project,Costing and Billing,Költség- és számlázás
apps/erpnext/erpnext/accounts/doctype/account/account.py +52,Account {0}: Parent account {1} can not be a ledger,A {0} számla: Szülő számla {1} nem lehet  főkönyvi számla
DocType: Item,Publish Item to hub.erpnext.com,Közzé tétel itt: hub.erpnext.com
apps/erpnext/erpnext/config/setup.py +88,Email Notifications,Email értesítések
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py +26,Evaluation,Értékelés
DocType: Item,Default Unit of Measure,Alapértelmezett mértékegység
DocType: SMS Center,All Sales Partner Contact,Összes értékesítő partner kapcsolata
DocType: Employee,Leave Approvers,Távollét jóváhagyók
DocType: Sales Partner,Dealer,Forgalmazó
DocType: Employee,Rented,Bérelt
DocType: Purchase Order,PO-,BESZMEGR-
DocType: POS Profile,Applicable for User,Alkalmazandó ehhez a Felhasználóhoz
apps/erpnext/erpnext/manufacturing/doctype/production_order/production_order.py +196,"Stopped Production Order cannot be cancelled, Unstop it first to cancel","Leállított gyártás rendelés nem törölhető, először tegye folyamatba a törléshez"
DocType: Vehicle Service,Mileage,Távolság
apps/erpnext/erpnext/accounts/doctype/asset/asset.js +231,Do you really want to scrap this asset?,Tényleg szeretné kiselejtezni ezt az eszközt?
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js +44,Select Default Supplier,Alapértelmezett beszállító kiválasztása
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py +37,Currency is required for Price List {0},Árfolyam szükséges ehhez az  árlistához: {0}
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,* A tranzakcióban lesz kiszámolva.
DocType: Purchase Order,Customer Contact,Vevő ügyfélkapcsolat
DocType: Job Applicant,Job Applicant,Állásra pályázó
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py +6,This is based on transactions against this Supplier. See timeline below for details,Ennek alapja a beszállító ügyleteki. Lásd alábbi idővonalat a részletekért
