<<<<<<< HEAD
DocType: Employee,Salary Mode,Modalidade de Salário
DocType: Employee,Divorced,Divorciado
apps/erpnext/erpnext/hub_node/doctype/hub_settings/hub_settings.py +96,Items already synced,Artigos já sincronizados
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,Permitir que o item a seja adicionado várias vezes em uma transação
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py +33,Cancel Material Visit {0} before cancelling this Warranty Claim,Cancele a Visita Material {0} antes de cancelar esta Solicitação de Garantia
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +19,Consumer Products,Bens de Consumo
DocType: Supplier Scorecard,Notify Supplier,Notificar fornecedor
DocType: Item,Customer Items,Artigos do Cliente
DocType: Project,Costing and Billing,Custos e Faturação
apps/erpnext/erpnext/accounts/doctype/account/account.py +52,Account {0}: Parent account {1} can not be a ledger,Conta {0}: Conta paterna {1} não pode ser um livro fiscal
DocType: Item,Publish Item to hub.erpnext.com,Publicar o artigo em hub.erpnext.com
apps/erpnext/erpnext/config/setup.py +88,Email Notifications,Notificações por E-mail
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py +26,Evaluation,Avaliação
DocType: Item,Default Unit of Measure,Unidade de Medida Padrão
DocType: SMS Center,All Sales Partner Contact,Todos os Contactos de Parceiros Comerciais
DocType: Employee,Leave Approvers,Autorizadores de Baixa
DocType: Sales Partner,Dealer,Revendedor
DocType: Employee,Rented,Alugado
DocType: Purchase Order,PO-,OC-
DocType: POS Profile,Applicable for User,Aplicável para o utilizador
apps/erpnext/erpnext/manufacturing/doctype/production_order/production_order.py +196,"Stopped Production Order cannot be cancelled, Unstop it first to cancel","A Ordem de Produção parada não pode ser cancelada, continue com mesma antes para depois cancelar"
DocType: Vehicle Service,Mileage,Quilometragem
apps/erpnext/erpnext/accounts/doctype/asset/asset.js +231,Do you really want to scrap this asset?,Você realmente quer descartar esse ativo?
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js +44,Select Default Supplier,Selecione o Fornecedor Padrão
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py +37,Currency is required for Price List {0},Moeda é necessária para a Lista de Preços {0}
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,* Será calculado na transação.
DocType: Purchase Order,Customer Contact,Contato do Cliente
DocType: Job Applicant,Job Applicant,Candidato a Emprego
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py +6,This is based on transactions against this Supplier. See timeline below for details,Isto é baseado em operações com este fornecedor. Veja o cronograma abaixo para obter detalhes
apps/erpnext/erpnext/hub_node/page/hub/hub_body.html +18,No more results.,Não há mais resultados.
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +34,Legal,Jurídico
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js +174,Actual type tax cannot be included in Item rate in row {0},Tipo de imposto efetivo não pode ser incluído no preço do artigo na linha {0}
DocType: Bank Guarantee,Customer,Cliente
DocType: Purchase Receipt Item,Required By,Solicitado Por
DocType: Delivery Note,Return Against Delivery Note,Devolução Contra Nota de Entrega
DocType: Purchase Order,% Billed,% Faturado
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py +43,Exchange Rate must be same as {0} {1} ({2}),Taxa de Câmbio deve ser a mesma que {0} {1} ({2})
DocType: Sales Invoice,Customer Name,Nome do Cliente
DocType: Vehicle,Natural Gas,Gás Natural
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py +127,Bank account cannot be named as {0},Conta bancária não pode ser nomeada como {0}
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,Elementos (ou grupos) dos quais os Lançamentos Contabilísticos são feitas e os saldos são mantidos.
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +196,Outstanding for {0} cannot be less than zero ({1}),Pendente para {0} não pode ser menor que zero ({1})
apps/erpnext/erpnext/hr/doctype/process_payroll/process_payroll.py +357,There are no submitted Salary Slips to process.,Não há rascunhos salariais enviados para processar.
DocType: Manufacturing Settings,Default 10 mins,Padrão de 10 min
DocType: Leave Type,Leave Type Name,Nome do Tipo de Baixa
apps/erpnext/erpnext/templates/pages/projects.js +62,Show open,Mostrar aberto
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py +151,Series Updated Successfully,Série Atualizada com Sucesso
apps/erpnext/erpnext/templates/includes/cart/cart_dropdown.html +18,Checkout,Check-out
apps/erpnext/erpnext/hr/doctype/process_payroll/process_payroll.py +175,Accural Journal Entry Submitted,Accural Journal Entry Submetido
DocType: Pricing Rule,Apply On,Aplicar Em
DocType: Item Price,Multiple Item prices.,Preços de Vários Artigos.
,Purchase Order Items To Be Received,Artigos da Ordem de Compra a serem recebidos
DocType: SMS Center,All Supplier Contact,Todos os Contactos do Fornecedor
DocType: Support Settings,Support Settings,Definições de suporte
apps/erpnext/erpnext/projects/doctype/project/project.py +65,Expected End Date can not be less than Expected Start Date,Data de Término não pode ser inferior a Data de Início
apps/erpnext/erpnext/utilities/transaction_base.py +110,Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,Linha #{0}: A taxa deve ser a mesma que {1}: {2} ({3} / {4})
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py +282,New Leave Application,Novo Pedido de Licença
,Batch Item Expiry Status,Batch item de status de validade
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +175,Bank Draft,Depósito Bancário
DocType: Mode of Payment Account,Mode of Payment Account,Modo da Conta de Pagamento
apps/erpnext/erpnext/stock/doctype/item/item.js +56,Show Variants,Mostrar Variantes
DocType: Academic Term,Academic Term,Período Letivo
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py +14,Material,Material
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js +670,Quantity,Quantidade
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +546,Accounts table cannot be blank.,A tabela de contas não pode estar vazia.
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +154,Loans (Liabilities),Empréstimos (Passivo)
DocType: Employee Education,Year of Passing,Ano de conclusão
DocType: Item,Country of Origin,País de origem
apps/erpnext/erpnext/templates/includes/product_page.js +24,In Stock,Em stock
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html +46,Open Issues,Incidentes em Aberto
DocType: Production Plan Item,Production Plan Item,Artigo do Plano de Produção
apps/erpnext/erpnext/hr/doctype/employee/employee.py +144,User {0} is already assigned to Employee {1},O utilizador {0} já está atribuído ao funcionário {1}
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +31,Health Care,Assistência Médica
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py +65,Delay in payment (Days),Atraso no pagamento (Dias)
apps/erpnext/erpnext/hr/report/vehicle_expenses/vehicle_expenses.py +26,Service Expense,Despesa de Serviço
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py +870,Serial Number: {0} is already referenced in Sales Invoice: {1},Número de série: {0} já está referenciado na fatura de vendas: {1}
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js +824,Invoice,Fatura
DocType: Maintenance Schedule Item,Periodicity,Periodicidade
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py +21,Fiscal Year {0} is required,O Ano Fiscal {0} é obrigatório
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +21,Defense,Defesa
DocType: Salary Component,Abbr,Abrev
DocType: Appraisal Goal,Score (0-5),Pontuação (de 0 a 5)
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +225,Row {0}: {1} {2} does not match with {3},Linha {0}: {1} {2} não coincide com a {3}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py +75,Row # {0}:,Linha # {0}:
DocType: Timesheet,Total Costing Amount,Valor Total dos Custos
DocType: Delivery Note,Vehicle No,Nº do Veículo
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py +157,Please select Price List,"Por favor, selecione a Lista de Preços"
apps/erpnext/erpnext/accounts/doctype/bank_reconciliation/bank_reconciliation.py +78,Row #{0}: Payment document is required to complete the trasaction,Row # {0}: documento de pagamento é necessário para concluir o trasaction
DocType: Production Order Operation,Work In Progress,Trabalho em Andamento
apps/erpnext/erpnext/schools/report/absent_student_report/absent_student_report.py +13,Please select date,Por favor selecione a data
DocType: Employee,Holiday List,Lista de Feriados
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +118,Accountant,Contabilista
DocType: Cost Center,Stock User,Utilizador de Stock
DocType: Company,Phone No,Nº de Telefone
apps/erpnext/erpnext/schools/doctype/course_scheduling_tool/course_scheduling_tool.py +50,Course Schedules created:,Cronogramas de Curso criados:
apps/erpnext/erpnext/subscription/doctype/subscription/subscription.py +175,New {0}: #{1},Novo {0}: #{1}
,Sales Partners Commission,Comissão de Parceiros de Vendas
apps/erpnext/erpnext/setup/doctype/company/company.py +45,Abbreviation cannot have more than 5 characters,A abreviatura não pode ter mais de 5 caracteres
DocType: Payment Request,Payment Request,Solicitação de Pagamento
DocType: Asset,Value After Depreciation,Valor Após Amortização
DocType: Employee,O+,O+
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt_dashboard.py +18,Related,Relacionado
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py +43,Attendance date can not be less than employee's joining date,Data de presença não pode ser inferior á data de admissão do funcionário
DocType: Grading Scale,Grading Scale Name,Nome escala de classificação
DocType: Subscription,Repeat on Day,Repita no dia
apps/erpnext/erpnext/accounts/doctype/account/account.js +41,This is a root account and cannot be edited.,Esta é uma conta principal e não pode ser editada.
DocType: Sales Invoice,Company Address,Endereço da companhia
DocType: BOM,Operations,Operações
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py +38,Cannot set authorization on basis of Discount for {0},Não é possível definir a autorização com base no Desconto de {0}
DocType: Rename Tool,"Attach .csv file with two columns, one for the old name and one for the new name","Anexe o ficheiro .csv com duas colunas, uma para o nome antigo e uma para o novo nome"
apps/erpnext/erpnext/accounts/utils.py +73,{0} {1} not in any active Fiscal Year.,{0} {1} não em qualquer ano fiscal ativa.
DocType: Packed Item,Parent Detail docname,Dados Principais de docname
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py +69,"Reference: {0}, Item Code: {1} and Customer: {2}","Referência: {0}, Código do Item: {1} e Cliente: {2}"
apps/erpnext/erpnext/utilities/user_progress.py +100,Kg,Kg
DocType: Student Log,Log,Registo
apps/erpnext/erpnext/config/hr.py +45,Opening for a Job.,Vaga para um Emprego.
DocType: Item Attribute,Increment,Aumento
apps/erpnext/erpnext/public/js/stock_analytics.js +61,Select Warehouse...,Selecionar Armazém...
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +6,Advertising,Publicidade
apps/erpnext/erpnext/accounts/doctype/mode_of_payment/mode_of_payment.py +22,Same Company is entered more than once,Esta mesma empresa está inscrita mais do que uma vez
DocType: Employee,Married,Casado/a
apps/erpnext/erpnext/accounts/party.py +44,Not permitted for {0},Não tem permissão para {0}
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js +568,Get items from,Obter itens de
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py +455,Stock cannot be updated against Delivery Note {0},O Stock não pode ser atualizado nesta Guia de Remessa {0}
apps/erpnext/erpnext/templates/pages/home.py +25,Product {0},Produto {0}
apps/erpnext/erpnext/templates/generators/item_group.html +43,No items listed,Nenhum item listado
DocType: Payment Reconciliation,Reconcile,Conciliar
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +30,Grocery,Mercearia
DocType: Quality Inspection Reading,Reading 1,Leitura 1
DocType: Process Payroll,Make Bank Entry,Efetuar Registo Bancário
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +40,Pension Funds,Fundos de Pensão
apps/erpnext/erpnext/accounts/doctype/asset/asset.py +88,Next Depreciation Date cannot be before Purchase Date,Próxima Depreciação A data não pode ser antes Data da compra
DocType: SMS Center,All Sales Person,Todos os Vendedores
DocType: Monthly Distribution,**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,"A **Distribuição Mensal** ajuda-o a distribuir o Orçamento/Meta por vários meses, caso o seu negócio seja sazonal."
apps/erpnext/erpnext/accounts/page/pos/pos.js +1700,Not items found,Não itens encontrados
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py +181,Salary Structure Missing,Falta a Estrutura Salarial
DocType: Lead,Person Name,Nome da Pessoa
DocType: Sales Invoice Item,Sales Invoice Item,Item de Fatura de Vendas
DocType: Account,Credit,Crédito
DocType: POS Profile,Write Off Cost Center,Liquidar Centro de Custos
apps/erpnext/erpnext/public/js/setup_wizard.js +109,"e.g. ""Primary School"" or ""University""","ex: ""Escola Primária"" ou ""Universidade"""
apps/erpnext/erpnext/config/stock.py +32,Stock Reports,Relatórios de Stock
DocType: Warehouse,Warehouse Detail,Detalhe Armazém
apps/erpnext/erpnext/selling/doctype/customer/customer.py +164,Credit limit has been crossed for customer {0} {1}/{2},O cliente {0} {1}/{2} ultrapassou o limite de crédito
apps/erpnext/erpnext/schools/doctype/academic_term/academic_term.py +33,The Term End Date cannot be later than the Year End Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,"O Prazo de Data de Término não pode ser posterior à Data de Término de Ano do Ano Letivo, com a qual está relacionado o termo (Ano Lectivo {}). Por favor, corrija as datas e tente novamente."
apps/erpnext/erpnext/stock/doctype/item/item.py +467,"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""É um Ativo Imobilizado"" não pode ser desmarcado, pois existe um registo de ativos desse item"
DocType: Vehicle Service,Brake Oil,Óleo dos Travões
DocType: Tax Rule,Tax Type,Tipo de imposto
apps/erpnext/erpnext/controllers/taxes_and_totals.py +552,Taxable Amount,Valor taxado
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +160,You are not authorized to add or update entries before {0},Não está autorizado a adicionar ou atualizar registos antes de {0}
DocType: BOM,Item Image (if not slideshow),Imagem do Item (se não for diapositivo de imagens)
apps/erpnext/erpnext/setup/doctype/customer_group/customer_group.py +20,An Customer exists with same name,Existe um Cliente com o mesmo nome
DocType: Production Order Operation,(Hour Rate / 60) * Actual Operation Time,(Valor por Hora / 60) * Tempo Real Operacional
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js +1040,Row #{0}: Reference Document Type must be one of Expense Claim or Journal Entry,Linha # {0}: O tipo de documento de referência deve ser um pedido de despesa ou entrada de diário
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js +913,Select BOM,Selecionar BOM
DocType: SMS Log,SMS Log,Registo de SMS
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py +27,Cost of Delivered Items,Custo de Itens Entregues
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py +38,The holiday on {0} is not between From Date and To Date,O feriado em {0} não é entre De Data e To Date
DocType: Student Log,Student Log,Log Student
DocType: Quality Inspection,Get Specification Details,Obter Dados Específicos
apps/erpnext/erpnext/config/buying.py +165,Templates of supplier standings.,Modelos de classificação de fornecedores.
DocType: Lead,Interested,Interessado
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py +171,Opening,A Abrir
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +28,From {0} to {1},De {0} a {1}
DocType: Item,Copy From Item Group,Copiar do Grupo do Item
DocType: Journal Entry,Opening Entry,Registo de Abertura
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js +25,Account Pay Only,Só Conta de Pagamento
DocType: Employee Loan,Repay Over Number of Periods,Reembolsar Ao longo Número de Períodos
DocType: Stock Entry,Additional Costs,Custos Adicionais
apps/erpnext/erpnext/accounts/doctype/account/account.py +141,Account with existing transaction can not be converted to group.,A conta da transação existente não pode ser convertida a grupo.
DocType: Lead,Product Enquiry,Inquérito de Produto
DocType: Academic Term,Schools,Escolas
DocType: School Settings,Validate Batch for Students in Student Group,Validar Lote para Estudantes em Grupo de Estudantes
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py +35,No leave record found for employee {0} for {1},Nenhum registo de falta encontrados para o funcionário {0} para {1}
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js +23,Please enter company first,"Por favor, insira primeiro a empresa"
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js +358,Please select Company first,"Por favor, selecione primeiro a Empresa"
DocType: Employee Education,Under Graduate,Universitário
apps/erpnext/erpnext/selling/report/sales_person_target_variance_item_group_wise/sales_person_target_variance_item_group_wise.js +27,Target On,Objetivo
DocType: BOM,Total Cost,Custo Total
DocType: Journal Entry Account,Employee Loan,Empréstimo a funcionário
apps/erpnext/erpnext/hr/doctype/process_payroll/process_payroll.js +108,Activity Log:,Registo de Atividade:
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py +250,Item {0} does not exist in the system or has expired,O Item {0} não existe no sistema ou já expirou
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +44,Real Estate,Imóveis
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html +1,Statement of Account,Extrato de Conta
